,...1,Participants,Grupo,University,Genre,Edad,Semester,Program,Specialization,Credibility,Coordination,Visual,Aural,Reader/Writer,Kinesthetic,Instrumental,Stra_Privilege,Stra_Appropriation,Expansive,Trend,VARK_Cs_Trend,Dc_Trend,Col_Trend
23,23,23,G8,U2C,1,22,7,B.D.Architecture,-0.0888888888888886,0.440414507772021,1.36125654450262,-0.571969696969697,-0.476595744680851,-1.25206611570248,0.00952380952380932,-0.518518518518519,0.385802469135802,0.415584415584416,0.428571428571428,Kinesthetic,RW/K/V,Expansive,Coordination
24,24,24,G8,U2C,2,23,8,B.D.Medicine,-0.755555555555555,1.21761658031088,-1.2565445026178,0.564393939393939,-0.476595744680851,0.400826446280992,-0.466666666666667,0.777777777777778,1.31172839506173,1.19480519480519,0.428571428571428,Visual,RW/K/V,Stra_Privilege,Credibility
25,25,25,G8,U1E,2,42,6,B.D.Early-Childhood-Pedagogy,0.133333333333334,-0.0777202072538862,-0.471204188481676,0.185606060606061,-0.476595744680851,0.400826446280992,0.00952380952380932,-0.333333333333333,-1.15740740740741,-1.4025974025974,-1,Reader/Writer,RW/K/V,Instrumental,Specialization
26,26,26,G9,U2C,2,25,8,B.D.Medicine,0.355555555555556,-0.595854922279793,0.0523560209424082,0.943181818181818,-0.0510638297872341,-0.0123966942148761,-0.942857142857143,0.222222222222222,0.848765432098765,-0.623376623376623,1.04081632653061,Visual,V/RW/A,Expansive,Specialization
27,27,27,G9,U2C,1,24,7,B.D.Architecture,-2.31111111111111,-1.1139896373057,-0.471204188481676,-0.193181818181818,-0.902127659574468,0.814049586776859,-0.942857142857143,-1.07407407407407,-0.540123456790123,0.415584415584416,1.44897959183673,Reader/Writer,V/RW/A,Expansive,Coordination
28,28,28,G9,U1E,2,43,7,B.D.Early-Childhood-Pedagogy,0.577777777777778,1.47668393782383,-0.732984293193717,-1.32954545454545,0.374468085106383,-0.425619834710744,-0.942857142857143,1.51851851851852,0.848765432098765,-0.103896103896104,0.020408163265306,Aural,V/RW/A,Instrumental,Credibility
29,29,29,G10,U2C,1,22,7,B.D.Architecture,0.355555555555556,-0.33678756476684,-0.209424083769634,0.185606060606061,-1.32765957446809,-0.838842975206612,-0.466666666666667,0.0370370370370369,-0.0771604938271605,0.155844155844156,-0.183673469387755,Visual,V,Stra_Appropriation,Specialization
30,30,30,G10,U2C,1,22,7,B.D.Architecture,0.133333333333334,0.181347150259067,0.0523560209424082,0.943181818181818,-0.476595744680851,-0.425619834710744,-0.466666666666667,0.222222222222222,0.694444444444444,-0.103896103896104,1.6530612244898,Visual,V,Expansive,Credibility
31,31,31,G10,U2C,1,21,7,B.D.Architecture,1.46666666666667,1.73575129533679,2.14659685863874,0.564393939393939,-0.476595744680851,-1.25206611570248,0.485714285714285,-1.07407407407407,-2.08333333333333,-1.4025974025974,-1.40816326530612,Visual,V,Instrumental,Coordination
32,32,32,G11,U1E,2,19,7,B.D.Early-Childhood-Pedagogy,-0.0888888888888886,0.440414507772021,-1.2565445026178,-1.32954545454545,-0.902127659574468,-0.425619834710744,0.485714285714285,0.222222222222222,-1.00308641975309,-0.883116883116883,-0.387755102040816,Kinesthetic,K/V,Instrumental,Credibility
33,33,33,G11,U1E,2,21,7,B.D.Early-Childhood-Pedagogy,1.24444444444444,1.73575129533679,1.62303664921466,0.185606060606061,-1.7531914893617,-0.0123966942148761,-0.942857142857143,0.407407407407407,1.00308641975309,0.675324675324675,0.63265306122449,Visual,K/V,Stra_Privilege,Credibility
34,34,34,G11,U2C,1,19,7,B.D.Architecture,0.133333333333334,-1.1139896373057,-0.471204188481676,2.83712121212121,0.374468085106383,0.400826446280992,0.00952380952380932,-0.703703703703704,0.231481481481481,-0.103896103896104,0.020408163265306,Visual,K/V,Stra_Privilege,Specialization
35,35,35,G12,U2C,1,20,7,B.D.Architecture,-0.311111111111111,-0.33678756476684,-0.994764397905759,-0.950757575757576,0.8,-0.425619834710744,0.961904761904762,2.07407407407407,1.15740740740741,1.45454545454545,1.85714285714286,Kinesthetic,K,Instrumental,Specialization
36,36,36,G12,U2C,1,21,7,B.D.Architecture,1.24444444444444,0.440414507772021,0.31413612565445,-0.571969696969697,-0.0510638297872341,-1.25206611570248,0.00952380952380932,-0.703703703703704,0.231481481481481,-1.14285714285714,-0.795918367346939,Kinesthetic,K,Stra_Privilege,Specialization
37,37,37,G12,U2C,2,21,7,B.D.Architecture,-0.533333333333333,-1.1139896373057,-0.994764397905759,-0.571969696969697,-0.0510638297872341,-0.838842975206612,0.485714285714285,0.962962962962963,1.15740740740741,0.935064935064935,-0.387755102040816,Kinesthetic,K,Stra_Privilege,Specialization
